country,duration_(secs)
ZA,3315.1019607843136
AE,3296.7235023041476
IN,3267.4043190612906
JP,3263.996687412166
PE,3263.642396313364
DE,3263.5865251499768
FR,3262.9238095238097
DK,3262.3502304147464
FI,3259.3225806451615
GB,3258.233547351525
KR,3256.8215767634856
CO,3256.1545574636725
NO,3255.629991850041
CA,3253.979725163325
CN,3252.8115358160558
AR,3251.967621419676
AU,3250.858994069844
PR,3245.4425187752745
IT,3245.2809977350603
MX,3244.6980609418283
RU,3242.3343474611834
US,3240.2885424888186
SE,3238.700734802939
AT,3235.737670514166
PL,3233.8901639344263
CH,3231.4419084618185
IE,3229.1428571428573
