age,gender,country,sales,returned,returned_amount,churn_risk
28,Female,CA,261.96,No,0.0,0
21,Male,AR,731.94,No,0.0,0
20,Male,PL,14.62,No,0.0,0
66,Female,IN,957.5775,No,0.0,0
53,Female,KR,22.368,No,0.0,0
28,Female,CA,48.86,No,0.0,0
49,Female,CN,0.0,Yes,957.5775,1
32,Female,AT,907.152,No,0.0,0
69,Male,US,18.504,No,0.0,0
60,Female,CA,114.9,No,0.0,0
36,Female,SE,1706.184,No,0.0,0
29,Female,CH,911.424,No,0.0,0
67,Female,IN,15.552,No,0.0,0
25,Male,IN,407.976,No,0.0,0
67,Female,US,68.81,No,0.0,0
24,Male,NO,2.544,No,0.0,0
65,Male,IN,665.88,No,0.0,0
42,Female,JP,55.5,No,0.0,0
46,Female,PL,8.56,No,0.0,0
24,Male,GB,213.48,No,0.0,0
23,Male,CA,22.72,No,0.0,0
27,Female,SE,19.46,No,0.0,0
52,Male,JP,0.0,Yes,18.504,1
44,Male,CH,71.372,No,0.0,0
42,Female,US,1044.63,No,0.0,0
51,Male,CA,11.648,No,0.0,0
25,Female,AT,90.57,No,0.0,0
50,Male,CA,0.0,Yes,407.976,1
65,Female,NO,9.618,No,0.0,0
29,Male,CA,124.2,No,0.0,0
66,Female,MX,3.264,No,0.0,0
23,Male,CA,86.304,No,0.0,0
32,Female,IT,0.0,Yes,8.56,1
51,Male,US,15.76,No,0.0,0
66,Female,US,29.472,No,0.0,0
68,Male,US,1097.544,No,0.0,0
43,Male,IT,190.92,No,0.0,0
59,Female,RU,113.328,No,0.0,0
54,Male,RU,532.3992,No,0.0,0
24,Male,JP,212.058,No,0.0,0
49,Female,IT,371.168,No,0.0,0
67,Male,US,147.168,No,0.0,0
48,Female,IT,77.88,No,0.0,0
40,Female,CA,95.616,No,0.0,0
41,Female,JP,45.98,No,0.0,0
46,Male,IT,17.46,No,0.0,0
19,Female,IT,211.96,No,0.0,0
43,Female,US,45.0,No,0.0,0
18,Male,CA,21.8,No,0.0,0
22,Female,CN,38.22,No,0.0,0
61,Female,CN,75.18,No,0.0,0
41,Female,US,0.0,Yes,113.328,1
53,Female,IT,89.99,No,0.0,0
43,Female,CA,15.26,No,0.0,0
45,Female,CN,1029.95,No,0.0,0
29,Female,US,208.56,No,0.0,0
43,Male,CA,32.4,No,0.0,0
19,Female,AR,319.41,No,0.0,0
67,Female,GB,14.56,No,0.0,0
36,Female,DE,30.0,No,0.0,0
64,Male,US,48.48,No,0.0,0
33,Female,JP,0.0,Yes,45.0,1
33,Female,AU,13.98,No,0.0,0
66,Male,IT,25.824,No,0.0,0
29,Female,RU,0.0,Yes,75.18,1
22,Male,CH,79.76,No,0.0,0
63,Female,AR,213.115,No,0.0,0
24,Female,FI,1113.024,No,0.0,0
24,Female,IN,167.968,No,0.0,0
44,Female,CA,75.88,No,0.0,0
34,Male,AU,4.616,No,0.0,0
47,Female,CA,19.05,No,0.0,0
38,Male,IT,831.936,No,0.0,0
57,Female,IT,97.04,No,0.0,0
67,Male,IT,72.784,No,0.0,0
41,Male,AU,0.0,Yes,351.15,1
40,Female,IT,9.708,No,0.0,0
69,Female,IT,27.24,No,0.0,0
47,Female,IT,19.3,No,0.0,0
53,Female,US,208.16,No,0.0,0
40,Male,RU,16.74,No,0.0,0
60,Male,CN,14.9,No,0.0,0
30,Male,CA,21.39,No,0.0,0
66,Female,CN,200.984,No,0.0,0
22,Male,CH,230.376,No,0.0,0
53,Male,CN,0.0,Yes,19.05,1
52,Female,CA,19.99,No,0.0,0
26,Male,AT,0.0,Yes,97.04,1
66,Male,GB,158.368,No,0.0,0
65,Male,CA,20.1,No,0.0,0
43,Female,JP,73.584,No,0.0,0
59,Female,PL,0.0,Yes,27.24,1
30,Female,CH,12.96,No,0.0,0
25,Female,US,53.34,No,0.0,0
29,Female,RU,32.96,No,0.0,0
19,Female,US,5.682,No,0.0,0
62,Male,US,96.53,No,0.0,0
39,Male,JP,51.312,No,0.0,0
33,Female,AU,77.88,No,0.0,0
26,Female,CA,64.624,No,0.0,0
43,Male,NO,95.976,No,0.0,0
40,Female,CH,0.0,Yes,2315.5,1
55,Male,RU,23.92,No,0.0,0
24,Female,SE,238.896,No,0.0,0
24,Male,IT,102.36,No,0.0,0
30,Female,US,36.882,No,0.0,0
34,Male,CA,74.112,No,0.0,0
64,Female,DE,27.992,No,0.0,0
57,Female,CA,3.304,No,0.0,0
18,Male,JP,339.96,No,0.0,0
26,Female,JP,41.96,No,0.0,0
19,Female,GB,75.96,No,0.0,0
22,Female,IT,27.24,No,0.0,0
48,Male,AT,40.096,No,0.0,0
56,Female,IT,4.72,No,0.0,0
35,Male,CH,23.976,No,0.0,0
60,Female,IT,130.464,No,0.0,0
32,Female,MX,787.53,No,0.0,0
27,Male,IT,157.794,No,0.0,0
56,Female,IT,47.04,No,0.0,0
35,Male,KR,30.84,No,0.0,0
68,Female,IT,226.56,No,0.0,0
64,Female,PR,115.02,No,0.0,0
60,Female,AU,68.04,No,0.0,0
64,Male,US,600.558,No,0.0,0
41,Female,IT,617.7,No,0.0,0
30,Male,US,2.388,No,0.0,0
40,Male,RU,243.992,No,0.0,0
29,Female,IT,81.424,No,0.0,0
25,Male,SE,238.56,No,0.0,0
60,Female,AR,59.97,No,0.0,0
42,Female,GB,78.304,No,0.0,0
54,Male,IT,21.456,No,0.0,0
50,Female,IT,20.04,No,0.0,0
54,Male,CH,35.44,No,0.0,0
45,Female,US,11.52,No,0.0,0
40,Female,CN,4.02,No,0.0,0
24,Male,GB,76.176,No,0.0,0
40,Male,GB,65.88,No,0.0,0
32,Female,GB,43.12,No,0.0,0
28,Female,DE,82.8,No,0.0,0
22,Female,US,8.82,No,0.0,0
21,Female,NO,10.86,No,0.0,0
31,Female,DK,143.7,No,0.0,0
61,Female,JP,839.43,No,0.0,0
67,Female,IT,671.93,No,0.0,0
52,Male,SE,93.888,No,0.0,0
44,Male,DE,384.45,No,0.0,0
48,Female,AU,149.97,No,0.0,0
53,Female,CA,1951.84,No,0.0,0
27,Male,CO,171.55,No,0.0,0
28,Female,US,157.92,No,0.0,0
43,Female,RU,203.184,No,0.0,0
54,Male,IT,58.38,No,0.0,0
41,Male,DE,105.52,No,0.0,0
59,Female,US,80.88,No,0.0,0
32,Female,CA,6.63,No,0.0,0
41,Female,IT,457.568,No,0.0,0
30,Female,AU,14.62,No,0.0,0
22,Male,US,944.93,No,0.0,0
51,Female,RU,5.98,No,0.0,0
23,Female,IT,54.384,No,0.0,0
40,Male,US,28.4,No,0.0,0
37,Male,IT,27.68,No,0.0,0
24,Female,IT,9.936,No,0.0,0
22,Male,AT,0.0,Yes,157.92,1
61,Female,SE,275.928,No,0.0,0
25,Female,CN,1740.06,No,0.0,0
66,Female,CH,32.064,No,0.0,0
59,Female,US,177.98,No,0.0,0
38,Male,AU,143.976,No,0.0,0
34,Male,IT,20.94,No,0.0,0
26,Female,CH,110.96,No,0.0,0
59,Female,US,340.144,No,0.0,0
53,Female,RU,52.448,No,0.0,0
23,Male,US,20.16,No,0.0,0
23,Female,AE,97.264,No,0.0,0
66,Female,IT,396.802,No,0.0,0
56,Female,IT,15.88,No,0.0,0
38,Female,US,3.28,No,0.0,0
28,Male,CH,24.816,No,0.0,0
44,Female,CH,408.744,No,0.0,0
26,Female,IT,503.96,No,0.0,0
41,Female,AT,149.95,No,0.0,0
50,Male,IE,29.0,No,0.0,0
23,Female,US,0.0,No,0.0,1
31,Female,US,176.8,No,0.0,0
26,Male,CA,37.224,No,0.0,0
56,Female,CH,20.016,No,0.0,0
34,Female,US,899.136,No,0.0,0
29,Female,NO,71.76,No,0.0,0
20,Female,IT,51.84,No,0.0,0
54,Female,IT,626.352,No,0.0,0
40,Male,CH,19.9,No,0.0,0
40,Male,IT,14.28,No,0.0,0
21,Male,IT,0.0,Yes,408.744,1
32,Female,JP,0.0,Yes,503.96,1
47,Male,GB,46.26,No,0.0,0
41,Female,PE,2.946,No,0.0,0
33,Male,CA,16.056,No,0.0,0
67,Female,GB,21.744,No,0.0,0
37,Male,SE,218.75,No,0.0,0
38,Female,CA,2.6,No,0.0,0
28,Male,IT,66.284,No,0.0,0
38,Female,IT,35.168,No,0.0,0
56,Female,IT,444.768,No,0.0,0
25,Male,CN,83.92,No,0.0,0
66,Male,IT,131.98,No,0.0,0
37,Female,US,15.92,No,0.0,0
19,Female,IN,52.29,No,0.0,0
53,Female,IT,91.99,No,0.0,0
69,Female,IT,20.8,No,0.0,0
69,Male,US,23.68,No,0.0,0
31,Female,CA,452.45,No,0.0,0
39,Male,SE,62.982,No,0.0,0
53,Male,RU,1188.0,No,0.0,0
26,Male,IN,89.584,No,0.0,0
63,Male,CA,93.06,No,0.0,0
34,Female,NO,0.0,Yes,35.168,1
25,Male,ZA,5.584,No,0.0,0
20,Female,NO,22.704,No,0.0,0
18,Female,IT,19.776,No,0.0,0
53,Male,SE,72.704,No,0.0,0
46,Male,US,479.988,No,0.0,0
34,Female,PE,27.168,No,0.0,0
61,Female,KR,2.2,No,0.0,0
38,Female,KR,622.45,No,0.0,0
67,Female,CH,21.98,No,0.0,0
33,Male,CH,161.568,No,0.0,0
63,Female,JP,389.696,No,0.0,0
21,Female,AT,18.648,No,0.0,0
41,Female,RU,233.86,No,0.0,0
48,Female,JP,620.6145,No,0.0,0
27,Male,CH,5.328,No,0.0,0
22,Female,CA,258.072,No,0.0,0
54,Female,AU,617.976,No,0.0,0
51,Female,IN,10.56,No,0.0,0
29,Female,IN,25.92,No,0.0,0
44,Female,IT,419.68,No,0.0,0
20,Female,CA,11.688,No,0.0,0
59,Female,US,31.984,No,0.0,0
23,Female,US,177.225,No,0.0,0
25,Female,AU,4.044,No,0.0,0
63,Male,US,0.0,Yes,389.696,1
21,Male,DE,2001.86,No,0.0,0
56,Female,CN,166.72,No,0.0,0
39,Male,IN,47.88,No,0.0,0
50,Male,US,1503.25,No,0.0,0
54,Female,GB,25.92,No,0.0,0
27,Male,RU,321.568,No,0.0,0
56,Male,IT,7.61,No,0.0,0
--,Unknown,CH,0.0,No,0.0,1
62,Female,PR,80.58,No,0.0,0
42,Female,JP,0.0,No,0.0,1
68,Female,US,12.132,No,0.0,0
27,Male,CN,82.368,No,0.0,0
39,Male,IT,53.92,No,0.0,0
44,Male,CA,647.904,No,0.0,0
52,Female,IT,20.37,No,0.0,0
19,Female,CA,221.55,No,0.0,0
68,Female,NO,17.52,No,0.0,0
22,Male,US,0.0,Yes,1503.25,1
61,Male,IN,0.0,Yes,25.92,1
23,Male,IT,2519.958,No,0.0,0
34,Male,RU,328.224,No,0.0,0
33,Female,GB,79.9,No,0.0,0
60,Female,JP,14.016,No,0.0,0
24,Female,CA,7.56,No,0.0,0
53,Male,ZA,37.208,No,0.0,0
22,Male,IN,57.576,No,0.0,0
50,Male,US,725.84,No,0.0,0
49,Male,RU,209.93,No,0.0,0
31,Male,KR,5.28,No,0.0,0
29,Male,IT,10.92,No,0.0,0
52,Female,CH,8.82,No,0.0,0
67,Female,AR,5.98,No,0.0,0
50,Female,IT,11.648,No,0.0,0
58,Female,GB,18.176,No,0.0,0
50,Female,CH,0.0,Yes,328.224,1
68,Female,AU,24.84,No,0.0,0
59,Female,RU,2.08,No,0.0,0
66,Female,US,1114.4,No,0.0,0
69,Male,DE,1038.84,No,0.0,0
27,Male,US,141.76,No,0.0,0
52,Female,FI,239.8,No,0.0,0
27,Female,IT,31.104,No,0.0,0
43,Female,JP,254.058,No,0.0,0
36,Male,US,194.528,No,0.0,0
19,Female,US,961.48,No,0.0,0
21,Male,CN,19.096,No,0.0,0
20,Male,PE,18.496,No,0.0,0
23,Female,IN,255.984,No,0.0,0
52,Female,AR,86.97,No,0.0,0
24,Male,IT,0.0,Yes,24.84,1
20,Female,PL,230.352,No,0.0,0
58,Male,IT,218.352,No,0.0,0
21,Male,JP,78.6,No,0.0,0
35,Male,AU,27.552,No,0.0,0
29,Female,AU,32.4,No,0.0,0
68,Male,US,1082.48,No,0.0,0
50,Female,KR,56.91,No,0.0,0
44,Female,RU,77.6,No,0.0,0
47,Female,IT,14.28,No,0.0,0
48,Female,JP,219.075,No,0.0,0
39,Female,IN,26.8,No,0.0,0
27,Male,CA,9.84,No,0.0,0
34,Female,IT,45.48,No,0.0,0
65,Female,DE,289.2,No,0.0,0
53,Female,RU,4.89,No,0.0,0
19,Female,US,15.136,No,0.0,0
19,Female,US,466.768,No,0.0,0
31,Female,ZA,15.232,No,0.0,0
43,Female,IT,6.264,No,0.0,0
42,Male,IT,87.54,No,0.0,0
58,Male,AR,178.384,No,0.0,0
34,Female,JP,15.552,No,0.0,0
32,Female,IN,99.136,No,0.0,0
27,Male,IT,135.882,No,0.0,0
28,Female,AT,0.0,Yes,26.8,1
55,Male,CH,275.94,No,0.0,0
48,Female,CA,0.0,No,0.0,1
46,Female,RU,43.57,No,0.0,0
20,Female,IT,0.0,No,0.0,1
39,Male,IT,251.52,No,0.0,0
44,Male,ZA,99.99,No,0.0,0
35,Female,US,15.992,No,0.0,0
48,Male,IT,290.898,No,0.0,0
22,Female,IT,54.224,No,0.0,0
52,Female,AU,786.744,No,0.0,0
45,Male,IT,100.24,No,0.0,0
64,Male,RU,37.764,No,0.0,0
38,Male,IT,82.8,No,0.0,0
45,Female,PL,20.724,No,0.0,0
41,Female,US,4.896,No,0.0,0
57,Female,JP,4.752,No,0.0,0
57,Male,JP,959.984,No,0.0,0
60,Female,IT,14.368,No,0.0,0
44,Female,JP,7.712,No,0.0,0
38,Male,US,698.352,No,0.0,0
65,Male,IT,4.96,No,0.0,0
30,Male,PL,17.856,No,0.0,0
50,Female,AT,509.97,No,0.0,0
19,Female,AU,30.992,No,0.0,0
26,Male,AU,71.928,No,0.0,0
54,Female,IT,88.8,No,0.0,0
63,Female,US,47.976,No,0.0,0
66,Female,CA,7.56,No,0.0,0
48,Female,AR,24.56,No,0.0,0
46,Male,CN,12.96,No,0.0,0
54,Male,PL,6.79,No,0.0,0
62,Male,US,24.56,No,0.0,0
64,Female,CA,3.048,No,0.0,0
55,Male,CA,49.12,No,0.0,0
20,Female,CH,4355.168,No,0.0,0
41,Male,CH,388.704,No,0.0,0
54,Male,IT,8.26,No,0.0,0
34,Male,MX,17.04,No,0.0,0
31,Female,GB,34.4,No,0.0,0
48,Male,IT,36.24,No,0.0,0
44,Female,US,647.84,No,0.0,0
42,Female,IT,20.7,No,0.0,0
25,Male,IT,20.7,No,0.0,0
64,Male,CH,488.646,No,0.0,0
67,Female,CA,5.56,No,0.0,0
55,Female,IN,47.12,No,0.0,0
62,Female,IT,211.96,No,0.0,0
54,Female,IT,23.2,No,0.0,0
43,Female,IT,0.0,Yes,4355.168,1
30,Female,IT,104.79,No,0.0,0
58,Female,PL,1043.92,No,0.0,0
49,Male,FI,25.92,No,0.0,0
49,Female,US,53.424,No,0.0,0
19,Female,KR,8.16,No,0.0,0
58,Female,KR,1023.936,No,0.0,0
49,Female,US,9.24,No,0.0,0
50,Female,IT,479.04,No,0.0,0
21,Female,PE,99.136,No,0.0,0
21,Male,IT,1488.424,No,0.0,0
63,Male,RU,8.652,No,0.0,0
30,Male,AR,23.832,No,0.0,0
66,Male,AT,12.176,No,0.0,0
23,Female,AT,50.96,No,0.0,0
69,Female,CH,49.536,No,0.0,0
45,Female,KR,41.9,No,0.0,0
53,Male,CN,375.4575,No,0.0,0
50,Female,CN,83.976,No,0.0,0
45,Female,CH,482.34,No,0.0,0
47,Female,GB,2.96,No,0.0,0
36,Female,RU,2.624,No,0.0,0
61,Female,CN,23.36,No,0.0,0
46,Female,CA,39.98,No,0.0,0
47,Male,CH,246.384,No,0.0,0
38,Female,GB,1799.97,No,0.0,0
41,Female,IT,12.462,No,0.0,0
29,Male,CN,75.792,No,0.0,0
58,Female,PE,49.96,No,0.0,0
69,Male,US,12.96,No,0.0,0
53,Female,IT,70.12,No,0.0,0
26,Male,US,35.952,No,0.0,0
53,Male,IT,2396.2656,No,0.0,0
63,Female,CN,131.136,No,0.0,0
54,Female,US,57.584,No,0.0,0
54,Female,US,9.568,No,0.0,0
45,Male,US,39.072,No,0.0,0
62,Female,SE,35.91,No,0.0,0
18,Female,RU,179.95,No,0.0,0
44,Female,CN,1199.976,No,0.0,0
50,Male,NO,27.15,No,0.0,0
31,Male,IN,1004.024,No,0.0,0
62,Male,IT,9.68,No,0.0,0
20,Female,IT,28.35,No,0.0,0
65,Female,PL,55.98,No,0.0,0
63,Female,JP,1336.829,No,0.0,0
57,Female,CH,113.568,No,0.0,0
59,Female,US,139.86,No,0.0,0
44,Female,IT,307.136,No,0.0,0
63,Female,US,95.92,No,0.0,0
65,Male,IN,383.8,No,0.0,0
68,Female,IT,5.78,No,0.0,0
21,Female,SE,9.32,No,0.0,0
33,Female,JP,15.25,No,0.0,0
23,Female,IN,196.752,No,0.0,0
49,Female,US,56.56,No,0.0,0
57,Male,RU,32.7,No,0.0,0
54,Female,CA,866.4,No,0.0,0
41,Female,IT,28.4,No,0.0,0
21,Female,US,287.92,No,0.0,0
45,Female,PR,69.99,No,0.0,0
58,Female,IT,6.672,No,0.0,0
53,Male,CA,189.588,No,0.0,0
53,Female,IT,408.744,No,0.0,0
39,Male,RU,291.96,No,0.0,0
21,Female,SE,4.768,No,0.0,0
51,Female,GB,714.3,No,0.0,0
50,Male,IT,4.812,No,0.0,0
50,Female,US,247.8,No,0.0,0
61,Male,US,0.0,Yes,56.56,1
44,Male,US,313.488,No,0.0,0
31,Female,IT,31.872,No,0.0,0
64,Male,PL,207.846,No,0.0,0
50,Male,IT,12.22,No,0.0,0
45,Male,PL,194.94,No,0.0,0
29,Female,CA,70.95,No,0.0,0
33,Female,CO,91.36,No,0.0,0
29,Male,PL,242.94,No,0.0,0
65,Male,JP,22.05,No,0.0,0
66,Female,CA,2.91,No,0.0,0
54,Male,RU,0.0,Yes,714.3,1
44,Male,AT,161.94,No,0.0,0
46,Male,AU,263.88,No,0.0,0
37,Male,CA,30.48,No,0.0,0
22,Female,CH,9.84,No,0.0,0
55,Female,CN,35.12,No,0.0,0
41,Male,PL,284.364,No,0.0,0
42,Male,RU,665.408,No,0.0,0
24,Male,CN,63.88,No,0.0,0
43,Female,RU,129.568,No,0.0,0
40,Male,US,747.558,No,0.0,0
22,Female,AT,8.928,No,0.0,0
27,Female,JP,0.0,Yes,22.05,1
68,Female,CN,899.91,No,0.0,0
48,Female,CN,51.312,No,0.0,0
56,Female,CN,23.56,No,0.0,0
25,Male,US,1272.63,No,0.0,0
30,Male,PL,28.485,No,0.0,0
49,Female,US,185.376,No,0.0,0
57,Male,IT,78.272,No,0.0,0
46,Female,IT,254.744,No,0.0,0
29,Male,US,205.3328,No,0.0,0
69,Female,CA,4.788,No,0.0,0
42,Female,CN,55.48,No,0.0,0
38,Female,US,340.92,No,0.0,0
46,Female,AU,222.666,No,0.0,0
31,Male,AT,703.968,No,0.0,0
26,Male,CO,92.52,No,0.0,0
48,Female,FR,62.65,No,0.0,0
30,Male,US,94.85,No,0.0,0
56,Male,IT,95.76,No,0.0,0
65,Male,ZA,40.2,No,0.0,0
53,Female,CH,14.7,No,0.0,0
43,Female,IT,704.25,No,0.0,0
26,Male,JP,9.09,No,0.0,0
23,Male,PR,5.96,No,0.0,0
54,Female,CA,159.98,No,0.0,0
56,Male,US,29.6,No,0.0,0
37,Female,NO,514.165,No,0.0,0
48,Male,RU,279.96,No,0.0,0
56,Male,AR,2735.952,No,0.0,0
58,Female,IN,7.992,No,0.0,0
40,Female,US,63.984,No,0.0,0
38,Female,IT,70.368,No,0.0,0
40,Female,IT,449.15,No,0.0,0
64,Male,IT,11.07,No,0.0,0
28,Male,IT,93.98,No,0.0,0
49,Male,US,189.882,No,0.0,0
51,Male,CA,105.42,No,0.0,0
22,Male,IT,119.616,No,0.0,0
67,Female,IT,255.76,No,0.0,0
22,Female,PL,241.568,No,0.0,0
26,Female,JP,69.3,No,0.0,0
42,Female,IT,22.62,No,0.0,0
45,Female,CN,14.952,No,0.0,0
43,Female,US,801.568,No,0.0,0
35,Female,US,2.376,No,0.0,0
49,Male,US,32.792,No,0.0,0
49,Female,SE,15.92,No,0.0,0
33,Male,RU,2.74,No,0.0,0
65,Female,CN,8.34,No,0.0,0
40,Male,NO,46.74,No,0.0,0
68,Male,IN,0.0,Yes,105.42,1
26,Female,IT,126.3,No,0.0,0
38,Male,IT,38.04,No,0.0,0
56,Female,PL,0.0,Yes,241.568,1
19,Male,JP,6.63,No,0.0,0
18,Female,CH,0.0,Yes,22.62,1
55,Male,US,2999.95,No,0.0,0
53,Female,IT,51.45,No,0.0,0
69,Female,US,11.96,No,0.0,0
27,Male,IN,1126.02,No,0.0,0
36,Female,IT,18.392,No,0.0,0
61,Female,SE,129.568,No,0.0,0
43,Female,JP,14.112,No,0.0,0
51,Female,IN,210.98,No,0.0,0
38,Male,US,55.176,No,0.0,0
34,Male,RU,66.26,No,0.0,0
23,Male,CA,22.2,No,0.0,0
56,Male,IT,683.952,No,0.0,0
60,Male,US,45.696,No,0.0,0
59,Female,PR,36.336,No,0.0,0
43,Male,IT,666.248,No,0.0,0
55,Male,CA,52.512,No,0.0,0
40,Male,IT,190.72,No,0.0,0
43,Female,RU,47.94,No,0.0,0
59,Male,SE,979.95,No,0.0,0
24,Male,GB,22.75,No,0.0,0
63,Female,IT,16.768,No,0.0,0
31,Male,US,42.616,No,0.0,0
69,Female,US,10.752,No,0.0,0
36,Female,US,152.94,No,0.0,0
54,Female,IT,283.92,No,0.0,0
22,Male,PL,468.9,No,0.0,0
39,Male,IT,380.864,No,0.0,0
26,Male,PL,646.776,No,0.0,0
44,Male,CA,58.112,No,0.0,0
35,Female,CO,100.792,No,0.0,0
66,Female,PL,66.112,No,0.0,0
61,Male,JP,41.28,No,0.0,0
30,Female,CA,13.36,No,0.0,0
55,Male,RU,250.272,No,0.0,0
22,Female,AT,11.364,No,0.0,0
51,Female,AU,8.72,No,0.0,0
53,Male,CA,1121.568,No,0.0,0
54,Female,CH,34.504,No,0.0,0
34,Male,CN,10.824,No,0.0,0
49,Female,PL,1295.78,No,0.0,0
41,Female,RU,19.456,No,0.0,0
34,Female,CN,20.7,No,0.0,0
59,Female,RU,1335.68,No,0.0,0
20,Female,US,32.4,No,0.0,0
23,Female,AT,42.6,No,0.0,0
25,Female,JP,84.056,No,0.0,0
63,Female,CN,13.0,No,0.0,0
68,Male,CN,13.128,No,0.0,0
58,Male,CN,3.96,No,0.0,0
58,Male,US,2.61,No,0.0,0
47,Male,PL,0.0,No,0.0,1
22,Female,US,91.84,No,0.0,0
51,Female,IT,81.088,No,0.0,0
56,Male,IT,19.44,No,0.0,0
33,Male,US,451.152,No,0.0,0
27,Male,CA,72.45,No,0.0,0
50,Male,CN,13.96,No,0.0,0
49,Female,US,33.264,No,0.0,0
52,Female,AU,14.85,No,0.0,0
54,Male,AT,8.82,No,0.0,0
19,Male,CO,160.72,No,0.0,0
49,Female,ZA,19.92,No,0.0,0
44,Female,US,0.0,Yes,3.96,1
69,Male,IT,69.712,No,0.0,0
41,Female,ZA,8.792,No,0.0,0
25,Female,CH,51.52,No,0.0,0
51,Female,IT,470.376,No,0.0,0
53,Female,JP,105.584,No,0.0,0
20,Female,PR,31.152,No,0.0,0
62,Male,CA,6.783,No,0.0,0
30,Female,US,406.368,No,0.0,0
47,Female,NO,70.98,No,0.0,0
40,Male,RU,294.93,No,0.0,0
35,Female,AR,84.784,No,0.0,0
41,Female,IN,20.736,No,0.0,0
48,Female,US,16.821,No,0.0,0
26,Male,IT,10.368,No,0.0,0
27,Female,IT,9.344,No,0.0,0
26,Female,IT,31.2,No,0.0,0
65,Female,IT,76.12,No,0.0,0
25,Female,US,1199.976,No,0.0,0
19,Female,CA,0.0,Yes,105.584,1
21,Male,IT,327.76,No,0.0,0
61,Female,IT,11.632,No,0.0,0
65,Female,PL,143.982,No,0.0,0
23,Female,JP,494.376,No,0.0,0
42,Male,AT,5.84,No,0.0,0
33,Male,JP,142.776,No,0.0,0
54,Female,CN,45.696,No,0.0,0
67,Female,CN,7.218,No,0.0,0
41,Female,CN,43.188,No,0.0,0
57,Female,US,131.904,No,0.0,0
35,Female,PL,3.282,No,0.0,0
62,Male,US,21.168,No,0.0,0
26,Male,IT,55.188,No,0.0,0
48,Male,IT,369.576,No,0.0,0
57,Female,US,15.712,No,0.0,0
53,Female,CA,8.448,No,0.0,0
58,Male,CN,728.946,No,0.0,0
32,Female,US,119.94,No,0.0,0
23,Female,AU,3.648,No,0.0,0
49,Female,AT,40.48,No,0.0,0
26,Female,CO,9.94,No,0.0,0
62,Female,ZA,107.424,No,0.0,0
30,Male,US,37.91,No,0.0,0
28,Female,IT,88.02,No,0.0,0
65,Female,ZA,8.69,No,0.0,0
56,Female,CH,0.0,Yes,21.168,1
40,Female,IT,555.21,No,0.0,0
55,Male,JP,523.48,No,0.0,0
61,Female,PR,161.82,No,0.0,0
35,Female,CA,35.56,No,0.0,0
37,Female,US,97.16,No,0.0,0
32,Male,NO,15.24,No,0.0,0
68,Female,RU,13.23,No,0.0,0
44,Female,AR,243.384,No,0.0,0
61,Female,IN,119.8,No,0.0,0
38,Male,US,0.0,Yes,107.424,1
66,Female,IT,17.88,No,0.0,0
53,Female,IT,235.944,No,0.0,0
21,Female,IT,392.94,No,0.0,0
61,Male,IT,18.882,No,0.0,0
32,Female,US,122.328,No,0.0,0
46,Female,CA,1049.2,No,0.0,0
25,Male,IT,15.424,No,0.0,0
49,Female,IT,18.84,No,0.0,0
26,Female,PL,330.4,No,0.0,0
40,Female,JP,26.25,No,0.0,0
20,Female,IT,132.52,No,0.0,0
38,Female,CN,0.0,Yes,243.384,1
63,Female,US,209.3,No,0.0,0
25,Male,US,31.56,No,0.0,0
19,Female,US,30.144,No,0.0,0
53,Female,SE,14.8,No,0.0,0
51,Female,RU,0.0,Yes,392.94,1
56,Male,CN,0.0,Yes,18.882,1
29,Male,NO,379.4,No,0.0,0
20,Female,IN,97.82,No,0.0,0
35,Female,IT,103.12,No,0.0,0
62,Female,IT,113.552,No,0.0,0
32,Female,PL,3.318,No,0.0,0
48,Male,JP,134.288,No,0.0,0
43,Male,CH,701.372,No,0.0,0
57,Female,US,2.308,No,0.0,0
33,Male,IT,999.432,No,0.0,0
49,Female,US,724.08,No,0.0,0
29,Female,IN,918.785,No,0.0,0
43,Female,IT,2.724,No,0.0,0
36,Female,SE,459.95,No,0.0,0
59,Female,JP,10.74,No,0.0,0
31,Female,IN,23.76,No,0.0,0
51,Female,US,85.056,No,0.0,0
27,Male,RU,381.576,No,0.0,0
