accessed_date,duration_(secs),network_protocol,ip,bytes,accessed_Ffom,age,gender,country,membership,language,sales,returned,returned_amount,pay_method,no_purchase,high_returns,short_sessions,churn_score,churn_risk
2017-03-14 19:46:37.327,2090,TCP  ,1.124.48.99,310900,Mozilla Firefox,49,Female,CN,Normal,English,0.0,Yes,957.5775,Cash,True,True,True,3,True
2017-03-15 00:00:27.659,2203,TCP  ,1.132.97.60,2985,IOS App,52,Male,JP,Premium,English,0.0,Yes,18.504,Credit Card,True,True,True,3,True
2017-03-15 00:00:02.296,4107,TCP  ,1.144.97.41,4773,Microsoft Edge,50,Male,CA,Premium,Spanish,0.0,Yes,407.976,Cash,True,True,False,2,True
2017-03-15 00:01:15.747,2979,TCP  ,1.152.97.25,3065,Safari,32,Female,IT,Premium,Spanish,0.0,Yes,8.56,Credit Card,True,True,True,3,True
2017-03-15 00:02:50.696,3301,TCP  ,1.187.86.94,2917,IOS App,41,Female,US,Premium,Spanish,0.0,Yes,113.328,Others,True,True,False,2,True
2017-03-15 00:04:15.639,4678,TCP  ,1.20.34.63,40,Chrome,33,Female,JP,Premium,Spanish,0.0,Yes,45.0,Others,True,True,False,2,True
2017-03-15 00:01:26.295,1623,TCP  ,1.212.121.254,2283,Chrome,29,Female,RU,Premium,Spanish,0.0,Yes,75.18,Debit Card,True,True,True,3,True
2017-03-15 00:01:39.539,4962,TCP  ,1.39.11.87,579,Others,41,Male,AU,Normal,Spanish,0.0,Yes,351.15,Others,True,True,False,2,True
2017-03-15 00:05:22.845,1661,TCP  ,1.39.24.136,46,Android App,53,Male,CN,Premium,Spanish,0.0,Yes,19.05,Cash,True,True,True,3,True
2017-03-15 00:05:10.118,2620,TCP  ,1.39.24.241,2935,Android App,26,Male,AT,Premium,Spanish,0.0,Yes,97.04,Cash,True,True,True,3,True
2017-03-15 00:02:48.650,4317,TCP  ,1.39.25.10,589,Android App,59,Female,PL,Normal,Spanish,0.0,Yes,27.24,Debit Card,True,True,False,2,True
