day_of_week,hour,access_count
Monday,0,726
Monday,1,712
Monday,2,665
Monday,3,679
Monday,4,958
Monday,5,1133
Monday,6,1076
Monday,7,986
Monday,8,1108
Monday,9,1316
Monday,10,1386
Monday,11,1302
Monday,12,1874
Monday,13,3473
Monday,14,4316
Monday,15,1519
Monday,16,804
Monday,17,856
Monday,18,731
Monday,19,721
Monday,20,1332
Monday,21,1365
Monday,22,1174
Monday,23,1228
Tuesday,0,1122
Tuesday,1,1048
Tuesday,2,1027
Tuesday,3,706
Tuesday,4,894
Tuesday,5,935
Tuesday,6,972
Tuesday,7,1062
Tuesday,8,957
Tuesday,9,897
Tuesday,10,1391
Tuesday,11,1526
Tuesday,12,1119
Tuesday,13,964
Tuesday,14,1110
Tuesday,15,1393
Tuesday,16,1416
Tuesday,17,1408
Tuesday,18,1446
Tuesday,19,1455
Tuesday,20,1213
Tuesday,21,1104
Tuesday,22,711
Tuesday,23,697
Wednesday,0,1376
Wednesday,1,1236
Wednesday,2,1058
Wednesday,3,598
Wednesday,4,610
Wednesday,5,752
Wednesday,6,512
Wednesday,7,502
Wednesday,8,616
Wednesday,9,701
Wednesday,10,504
Wednesday,11,631
Wednesday,12,800
Wednesday,13,694
Wednesday,14,1135
Wednesday,15,1206
Wednesday,16,985
Wednesday,17,1088
Wednesday,18,1293
Wednesday,19,1134
Wednesday,20,815
Wednesday,21,824
Wednesday,22,758
Wednesday,23,680
Thursday,0,652
Thursday,1,886
Thursday,2,782
Thursday,3,1191
Thursday,4,2414
Thursday,5,1045
Thursday,6,864
Thursday,7,684
Thursday,8,593
Thursday,9,757
Thursday,10,828
Thursday,11,886
Thursday,12,1673
Thursday,13,1411
Thursday,14,675
Thursday,15,844
Thursday,16,780
Thursday,17,575
Thursday,18,604
Thursday,19,1571
Thursday,20,1983
Thursday,21,1278
Thursday,22,756
Thursday,23,863
Friday,0,754
Friday,1,1209
Friday,2,1124
Friday,3,1479
Friday,4,644
Friday,5,969
Friday,6,770
Friday,7,660
Friday,8,536
Friday,9,494
Friday,10,480
Friday,11,689
Friday,12,642
Friday,13,670
Friday,14,632
Friday,15,512
Friday,16,670
Friday,17,733
Friday,18,1136
Friday,19,1071
Friday,20,1039
Friday,21,1537
Friday,22,1147
Friday,23,975
Saturday,0,850
Saturday,1,1774
Saturday,2,2284
Saturday,3,1724
Saturday,4,1117
Saturday,5,1190
Saturday,6,1083
Saturday,7,952
Saturday,8,764
Saturday,9,871
Saturday,10,946
Saturday,11,853
Saturday,12,1542
Saturday,13,784
Saturday,14,749
Saturday,15,896
Saturday,16,1479
Saturday,17,802
Saturday,18,726
Saturday,19,777
Saturday,20,1777
Saturday,21,3419
Saturday,22,3340
Saturday,23,891
Sunday,0,752
Sunday,1,760
Sunday,2,738
Sunday,3,700
Sunday,4,803
Sunday,5,826
Sunday,6,755
Sunday,7,783
Sunday,8,752
Sunday,9,718
Sunday,10,538
Sunday,11,522
Sunday,12,664
Sunday,13,739
Sunday,14,752
Sunday,15,735
Sunday,16,540
Sunday,17,590
Sunday,18,701
Sunday,19,673
Sunday,20,724
Sunday,21,702
Sunday,22,1302
Sunday,23,791
