ip,count
69.30.236.154,162
5.9.17.118,153
5.9.145.132,153
136.243.35.158,152
222.255.236.117,152
136.243.17.161,152
148.251.54.44,144
195.154.216.79,144
188.40.112.210,136
78.46.156.169,135
37.187.74.195,135
144.76.71.83,128
5.9.112.6,117
66.249.93.145,117
5.9.94.207,117
47.54.160.169,108
82.165.138.186,99
82.158.121.60,99
144.76.153.198,96
66.249.93.146,90
104.254.212.105,90
78.56.85.232,90
213.159.38.90,88
104.223.38.228,81
91.200.12.7,81
66.249.93.144,81
162.244.34.4,80
192.95.38.239,72
91.200.12.141,72
192.99.6.22,72
149.56.43.99,72
104.155.126.255,72
195.154.215.241,64
162.244.15.250,64
198.50.238.91,64
23.92.123.42,63
45.61.46.227,63
41.129.203.250,63
76.72.173.179,63
173.44.52.38,56
162.244.8.169,56
195.154.211.206,56
109.206.177.104,54
89.32.181.82,54
91.200.12.143,54
94.242.227.106,54
46.4.146.61,54
103.14.250.176,54
45.62.47.54,54
23.92.123.62,54
91.214.85.77,54
66.102.9.151,54
192.186.156.203,48
148.251.48.240,48
192.186.156.198,48
93.188.37.233,45
45.61.46.30,45
93.179.68.47,45
91.108.73.76,45
23.92.123.249,45
104.198.6.37,45
5.196.106.197,45
91.200.12.106,45
31.184.197.41,45
64.53.27.16,45
91.221.70.27,45
107.183.156.55,45
148.251.15.208,40
148.251.41.50,40
192.3.195.116,40
176.36.5.142,40
195.154.60.170,40
136.243.57.34,40
188.143.235.207,40
151.80.230.98,40
178.94.206.179,40
151.80.109.148,40
151.80.226.14,40
217.6.41.202,40
167.114.201.109,40
141.0.13.136,40
173.44.52.173,40
46.39.228.192,36
67.59.219.250,36
104.202.199.200,36
81.4.127.178,36
23.92.122.196,36
37.59.11.46,36
123.30.150.18,36
78.9.185.56,36
14.161.45.155,36
115.78.234.132,36
23.95.185.186,36
23.94.245.142,36
104.168.147.174,36
52.53.181.128,36
23.236.131.54,36
91.218.246.70,36
47.90.23.204,36
115.78.124.249,36
93.170.131.133,36
5.226.175.206,36
91.200.12.136,36
104.238.221.40,36
91.193.166.194,36
104.227.20.110,36
104.227.17.155,36
104.223.79.76,36
121.96.73.139,36
45.61.46.175,36
24.37.184.74,36
104.203.247.216,36
107.183.34.2,36
45.72.0.234,36
66.249.82.215,36
178.162.205.26,32
206.123.95.138,32
165.231.96.206,32
199.115.231.46,32
195.22.127.195,32
167.114.222.205,32
151.80.109.120,32
220.240.98.43,32
151.80.230.23,32
104.129.41.163,27
23.92.122.193,27
23.92.121.234,27
66.102.6.153,27
37.59.56.70,27
77.243.183.10,27
104.129.40.90,27
45.72.70.94,27
23.92.123.183,27
121.58.173.7,27
52.10.239.179,27
104.160.228.79,27
104.129.48.16,27
23.250.85.60,27
80.80.171.10,27
107.175.152.199,27
93.80.233.10,27
124.41.213.85,27
122.168.197.87,27
91.78.222.207,27
122.168.197.64,27
106.51.129.21,27
37.187.134.116,27
66.102.9.153,27
66.102.8.21,27
104.144.157.94,27
23.95.34.58,27
104.144.250.70,27
45.72.74.56,27
103.62.64.68,27
37.115.215.246,27
66.139.27.5,27
66.139.27.6,27
122.160.23.116,27
1.82.216.134,27
107.150.75.54,27
107.150.80.173,27
36.73.118.247,27
107.178.72.148,27
81.130.70.67,27
66.249.93.159,27
94.23.60.110,27
109.162.65.212,27
72.195.240.166,27
85.10.233.125,27
107.172.246.172,27
66.220.145.246,27
46.183.221.125,27
66.220.145.245,27
5.226.175.219,27
107.167.109.167,27
128.69.217.222,27
104.223.41.207,27
122.54.163.174,27
64.235.37.111,27
23.105.56.116,27
115.248.35.13,27
104.206.159.30,27
64.209.89.208,27
80.95.29.212,27
119.81.81.150,27
5.189.162.27,27
104.202.199.144,27
123.237.168.124,27
91.238.134.93,27
89.32.181.186,27
95.65.45.111,27
23.108.172.209,27
62.210.111.85,27
64.46.40.101,27
118.137.177.15,27
88.150.131.195,27
104.168.4.33,27
198.55.96.35,24
193.124.187.99,24
181.214.2.21,24
198.12.123.198,24
178.32.12.113,24
154.16.3.106,24
